Player 1,Player 2,Team Name,Division,Tournament
jessie larson,lindsey metzger,Bunda Babes,Intermediate,2021chicago
claire de angelo,isabella keegan,FreeDub,Intermediate,2021chicago
cecilia kowara,sam greathouse,Frozen Grapes,Intermediate,2021chicago
lydia penix,macy emich,hugs not drugs,Intermediate,2021chicago
ali jenki,katie pierson,Jenki/Pierson,Intermediate,2021chicago
carla zapata,yeni ruiz,Mamis,Intermediate,2021chicago
ashley showalter,krista shrock,Showalter/Shrock,Intermediate,2021chicago
amandalynn calder,whitney fraire,Something Intimidating,Intermediate,2021chicago
kalin morgan,karah hui,Straight Outta Kali,Intermediate,2021chicago
allie foster,olivia jenki,Ugly Barnacles,Intermediate,2021chicago
audrey meyer-hagen,jenna markel,XtraTuf Spikers,Intermediate,2021chicago
jake heidman,jake heidman,Premier / Expert,Women's,2021chicago
