Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
2 doods,Bangarangs,"ben taylor, jordan glade","jason warhurst, sierra warhurst",18,21,Pool Play,2023pg,3.0 Intermediate
Average but Savage bros,Cap- Spiggity,"benson shaw, jacob shaw","carrie capozzoli, jeffrey capozzzoli",15,9,Pool Play,2023pg,3.0 Intermediate
Heavy Hitters,Pig,"donovan guerrero, ruby pruneda","ethan chudleigh, luke gonzalez",15,4,Pool Play,2023pg,3.0 Intermediate
Munzies,Net worth,"james munnerlyn, taylor munnerlyn","hunter steenbakkers, nelson durrant",7,21,Pool Play,2023pg,3.0 Intermediate
2 doods,Pocket pair,"ben taylor, jordan glade","tyler caswell, bri nicholson",16,21,Pool Play,2023pg,3.0 Intermediate
Avalanche,Bangarangs,"aidan gunnell, tj hess","jason warhurst, sierra warhurst",21,10,Pool Play,2023pg,3.0 Intermediate
Average but Savage bros,Heavy Hitters,"benson shaw, jacob shaw","donovan guerrero, ruby pruneda",21,14,Pool Play,2023pg,3.0 Intermediate
2 doods,Avalanche,"ben taylor, jordan glade","aidan gunnell, tj hess",17,21,Pool Play,2023pg,3.0 Intermediate
Como Se Juega,Cap- Spiggity,"adam brueck, nathan brueck","carrie capozzoli, jeffrey capozzzoli",13,15,Pool Play,2023pg,3.0 Intermediate
Net worth,Mountain city,"hunter steenbakkers, nelson durrant","alex bateman, garrett welch",21,19,Pool Play,2023pg,3.0 Intermediate
Pocket pair,Bangarangs,"tyler caswell, bri nicholson","jason warhurst, sierra warhurst",21,9,Pool Play,2023pg,3.0 Intermediate
Cap- Spiggity,Pig,"carrie capozzoli, jeffrey capozzzoli","ethan chudleigh, luke gonzalez",15,13,Pool Play,2023pg,3.0 Intermediate
Average but Savage bros,Como Se Juega,"benson shaw, jacob shaw","adam brueck, nathan brueck",16,14,Pool Play,2023pg,3.0 Intermediate
Heavy Hitters,Cap- Spiggity,"donovan guerrero, ruby pruneda","carrie capozzoli, jeffrey capozzzoli",15,17,Pool Play,2023pg,3.0 Intermediate
Read It Like A Book,Clean Combo,"casey harman, jacob lunt","aaron holt, ezra belnap",21,10,Bracket play round of Round of 16 game 1,2023pg,4.5 Elite w/NHZ
Read It Like A Book,Clean Combo,"casey harman, jacob lunt","aaron holt, ezra belnap",21,11,Bracket play round of Round of 16 game 2,2023pg,4.5 Elite w/NHZ
Stokes / Barlow,Read It Like A Book,"matt barlow, tyler stokes","casey harman, jacob lunt",13,21,Bracket play round of Quarter-finals game 1,2023pg,4.5 Elite w/NHZ
