Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Double Touch,Clarké au floor,"tom eynard, tom hullot","auxence clark, robin florinda",11,15,Bracket play round of Round of 16 game 2,ets-vienna-2023,Open Gold
Hokus Boom,Double Bang,"cedric widin, matias bermejo pasetti","michele berlanda, nicola bazzani",15,11,Bracket play round of Round of 16 game 1,ets-vienna-2023,Open Gold
Hokus Boom,Double Bang,"cedric widin, matias bermejo pasetti","michele berlanda, nicola bazzani",15,13,Bracket play round of Round of 16 game 2,ets-vienna-2023,Open Gold
RCB Drü,JulJan,"merlin baumeler, ramon felix","jan umlauft, julian krehle",16,14,Bracket play round of Round of 16 game 1,ets-vienna-2023,Open Gold
RCB Drü,JulJan,"merlin baumeler, ramon felix","jan umlauft, julian krehle",15,13,Bracket play round of Round of 16 game 2,ets-vienna-2023,Open Gold
Hustling Brothers,Clarké au floor,"levi vandaele, yosha vandaele","auxence clark, robin florinda",21,14,Bracket play round of Quarter-finals game 1,ets-vienna-2023,Open Gold
Hustling Brothers,Clarké au floor,"levi vandaele, yosha vandaele","auxence clark, robin florinda",12,21,Bracket play round of Quarter-finals game 2,ets-vienna-2023,Open Gold
Hustling Brothers,Clarké au floor,"levi vandaele, yosha vandaele","auxence clark, robin florinda",20,22,Bracket play round of Quarter-finals game 3,ets-vienna-2023,Open Gold
Hokus Boom,RCB Drü,"cedric widin, matias bermejo pasetti","merlin baumeler, ramon felix",19,21,Bracket play round of Quarter-finals game 1,ets-vienna-2023,Open Gold
Hokus Boom,RCB Drü,"cedric widin, matias bermejo pasetti","merlin baumeler, ramon felix",21,13,Bracket play round of Quarter-finals game 2,ets-vienna-2023,Open Gold
Hokus Boom,RCB Drü,"cedric widin, matias bermejo pasetti","merlin baumeler, ramon felix",21,19,Bracket play round of Quarter-finals game 3,ets-vienna-2023,Open Gold
Clarké au floor,Hokus Boom,"auxence clark, robin florinda","cedric widin, matias bermejo pasetti",21,18,Bracket play round of Semi-finals game 1,ets-vienna-2023,Open Gold
Clarké au floor,Hokus Boom,"auxence clark, robin florinda","cedric widin, matias bermejo pasetti",21,14,Bracket play round of Semi-finals game 2,ets-vienna-2023,Open Gold
Willy Wonka,Bürkle/Hinkle,"emil grönebaum, rasmus prüfer","ma rio, fredric hinkle",12,21,Bracket play round of Final game 1,ets-vienna-2023,Open Gold
Willy Wonka,Bürkle/Hinkle,"emil grönebaum, rasmus prüfer","ma rio, fredric hinkle",20,22,Bracket play round of Final game 2,ets-vienna-2023,Open Gold
Rainbow Warriors,Willy Wonka,"fabian claus, josha lauterbach","emil grönebaum, rasmus prüfer",17,21,Bracket play round of 1st place game 1,ets-vienna-2023,Open Gold
Rainbow Warriors,Willy Wonka,"fabian claus, josha lauterbach","emil grönebaum, rasmus prüfer",21,18,Bracket play round of 1st place game 2,ets-vienna-2023,Open Gold
Rainbow Warriors,Willy Wonka,"fabian claus, josha lauterbach","emil grönebaum, rasmus prüfer",19,21,Bracket play round of 1st place game 3,ets-vienna-2023,Open Gold
RBZ Capri Sons,Bürkle/Hinkle,"andrea borsotti, riccardo mercadini","ma rio, fredric hinkle",16,21,Bracket play round of 1st place game 1,ets-vienna-2023,Open Gold
RBZ Capri Sons,Bürkle/Hinkle,"andrea borsotti, riccardo mercadini","ma rio, fredric hinkle",21,17,Bracket play round of 1st place game 2,ets-vienna-2023,Open Gold
RBZ Capri Sons,Bürkle/Hinkle,"andrea borsotti, riccardo mercadini","ma rio, fredric hinkle",15,21,Bracket play round of 1st place game 3,ets-vienna-2023,Open Gold
Rainbow Warriors,Smile,"fabian claus, josha lauterbach","felix millton, gabriel stoisser",15,13,Bracket play round of 3rd place game 1,ets-vienna-2023,Open Gold
Rainbow Warriors,Smile,"fabian claus, josha lauterbach","felix millton, gabriel stoisser",15,12,Bracket play round of 3rd place game 2,ets-vienna-2023,Open Gold
RDO Flix und Fertig,Willy Wonka,"lucas christiani, max schartmann","emil grönebaum, rasmus prüfer",14,16,Bracket play round of 3rd place game 1,ets-vienna-2023,Open Gold
RDO Flix und Fertig,Willy Wonka,"lucas christiani, max schartmann","emil grönebaum, rasmus prüfer",18,16,Bracket play round of 3rd place game 2,ets-vienna-2023,Open Gold
RDO Flix und Fertig,Willy Wonka,"lucas christiani, max schartmann","emil grönebaum, rasmus prüfer",7,15,Bracket play round of 3rd place game 3,ets-vienna-2023,Open Gold
RCG Powerline,RBZ Capri Sons,"benjamin bachler, nelson dziruni","andrea borsotti, riccardo mercadini",11,15,Bracket play round of 3rd place game 1,ets-vienna-2023,Open Gold
RCG Powerline,RBZ Capri Sons,"benjamin bachler, nelson dziruni","andrea borsotti, riccardo mercadini",15,11,Bracket play round of 3rd place game 2,ets-vienna-2023,Open Gold
RCG Powerline,RBZ Capri Sons,"benjamin bachler, nelson dziruni","andrea borsotti, riccardo mercadini",13,15,Bracket play round of 3rd place game 3,ets-vienna-2023,Open Gold
Double O steal your hoe,Bürkle/Hinkle,"ondra kasan, ondřej čejka","ma rio, fredric hinkle",17,21,Bracket play round of 3rd place game 1,ets-vienna-2023,Open Gold
Double O steal your hoe,Bürkle/Hinkle,"ondra kasan, ondřej čejka","ma rio, fredric hinkle",15,21,Bracket play round of 3rd place game 2,ets-vienna-2023,Open Gold
Smile,Future Burnouts,"felix millton, gabriel stoisser","markus anderle, raffael jonas",15,13,Bracket play round of Semi-finals game 1,ets-vienna-2023,Open Gold
Smile,Future Burnouts,"felix millton, gabriel stoisser","markus anderle, raffael jonas",16,18,Bracket play round of Semi-finals game 2,ets-vienna-2023,Open Gold
Smile,Future Burnouts,"felix millton, gabriel stoisser","markus anderle, raffael jonas",15,12,Bracket play round of Semi-finals game 3,ets-vienna-2023,Open Gold
RDO Flix und Fertig,nerds in disguise,"lucas christiani, max schartmann","david jindra, stefan handschmann",1,0,Bracket play round of Semi-finals game 1,ets-vienna-2023,Open Gold
RDO Flix und Fertig,nerds in disguise,"lucas christiani, max schartmann","david jindra, stefan handschmann",0,1,Bracket play round of Semi-finals game 2,ets-vienna-2023,Open Gold
RDO Flix und Fertig,nerds in disguise,"lucas christiani, max schartmann","david jindra, stefan handschmann",15,13,Bracket play round of Semi-finals game 3,ets-vienna-2023,Open Gold
Willy Wonka,"halo, halo, palma?","emil grönebaum, rasmus prüfer","aleksandrs juška, mikus jaunpetrovičs",1,0,Bracket play round of Semi-finals game 1,ets-vienna-2023,Open Gold
Willy Wonka,"halo, halo, palma?","emil grönebaum, rasmus prüfer","aleksandrs juška, mikus jaunpetrovičs",15,9,Bracket play round of Semi-finals game 2,ets-vienna-2023,Open Gold
RBZ Capri Sons,Incrediballers,"andrea borsotti, riccardo mercadini","faisal sayyed, jorge donayre",15,9,Bracket play round of Semi-finals game 1,ets-vienna-2023,Open Gold
RBZ Capri Sons,Incrediballers,"andrea borsotti, riccardo mercadini","faisal sayyed, jorge donayre",15,10,Bracket play round of Semi-finals game 2,ets-vienna-2023,Open Gold
Double O steal your hoe,UnderDAWGS,"ondra kasan, ondřej čejka","jakub víšek, sebi mezzey",15,12,Bracket play round of Semi-finals game 1,ets-vienna-2023,Open Gold
Double O steal your hoe,UnderDAWGS,"ondra kasan, ondřej čejka","jakub víšek, sebi mezzey",15,13,Bracket play round of Semi-finals game 2,ets-vienna-2023,Open Gold
Bürkle/Hinkle,Gauterin/Rösinger,"ma rio, fredric hinkle","marcus gauterin, marvin rösinger",15,8,Bracket play round of Semi-finals game 1,ets-vienna-2023,Open Gold
Bürkle/Hinkle,Gauterin/Rösinger,"ma rio, fredric hinkle","marcus gauterin, marvin rösinger",15,10,Bracket play round of Semi-finals game 2,ets-vienna-2023,Open Gold
RCB Drü,Hustling Brothers,"merlin baumeler, ramon felix","levi vandaele, yosha vandaele",1,0,Bracket play round of P5: Semi-finals game 1,ets-vienna-2023,Open Gold
RCB Drü,Hustling Brothers,"merlin baumeler, ramon felix","levi vandaele, yosha vandaele",1,0,Bracket play round of P5: Semi-finals game 2,ets-vienna-2023,Open Gold
RBZ Capri Sons,Rainbow Warriors,"andrea borsotti, riccardo mercadini","fabian claus, josha lauterbach",1,0,Bracket play round of P5: Final game 1,ets-vienna-2023,Open Gold
RBZ Capri Sons,Rainbow Warriors,"andrea borsotti, riccardo mercadini","fabian claus, josha lauterbach",1,0,Bracket play round of P5: Final game 2,ets-vienna-2023,Open Gold
Double Touch,Gemmathi & Let's Jo,"tom eynard, tom hullot","johannes mitterwald, mathias gangkofner",10,15,Bracket play round of P9: Quarter-finals game 1,ets-vienna-2023,Open Gold
Double Touch,Gemmathi & Let's Jo,"tom eynard, tom hullot","johannes mitterwald, mathias gangkofner",12,15,Bracket play round of P9: Quarter-finals game 2,ets-vienna-2023,Open Gold
JulJan,Double Bang,"jan umlauft, julian krehle","michele berlanda, nicola bazzani",11,15,Bracket play round of P9: Quarter-finals game 1,ets-vienna-2023,Open Gold
JulJan,Double Bang,"jan umlauft, julian krehle","michele berlanda, nicola bazzani",15,9,Bracket play round of P9: Quarter-finals game 2,ets-vienna-2023,Open Gold
JulJan,Double Bang,"jan umlauft, julian krehle","michele berlanda, nicola bazzani",17,15,Bracket play round of P9: Quarter-finals game 3,ets-vienna-2023,Open Gold
Gemmathi & Let's Jo,JulJan,"johannes mitterwald, mathias gangkofner","jan umlauft, julian krehle",12,15,Bracket play round of P9: Semi-finals game 1,ets-vienna-2023,Open Gold
Gemmathi & Let's Jo,JulJan,"johannes mitterwald, mathias gangkofner","jan umlauft, julian krehle",15,10,Bracket play round of P9: Semi-finals game 2,ets-vienna-2023,Open Gold
Gemmathi & Let's Jo,JulJan,"johannes mitterwald, mathias gangkofner","jan umlauft, julian krehle",14,16,Bracket play round of P9: Semi-finals game 3,ets-vienna-2023,Open Gold
Smile,RCG Powerline,"felix millton, gabriel stoisser","benjamin bachler, nelson dziruni",1,0,Bracket play round of P9: Final game 1,ets-vienna-2023,Open Gold
Smile,RCG Powerline,"felix millton, gabriel stoisser","benjamin bachler, nelson dziruni",1,0,Bracket play round of P9: Final game 2,ets-vienna-2023,Open Gold
RDO Flix und Fertig,Smile,"lucas christiani, max schartmann","felix millton, gabriel stoisser",24,25,Bracket play round of 9th place game 1,ets-vienna-2023,Open Gold
RDO Flix und Fertig,Smile,"lucas christiani, max schartmann","felix millton, gabriel stoisser",0,1,Bracket play round of 9th place game 2,ets-vienna-2023,Open Gold
