Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
R-City Runners,Bex / Stephen,"corbin randall, kyle sharp","becca feller, stephen moss",21,13,Pool Play,2023springspike,4.0 Advanced w/NHZ
Traffic Jams,Clean Combo,"chris sorensen, jason gurney","aaron holt, ezra belnap",18,21,Pool Play,2023springspike,4.0 Advanced w/NHZ
Big and Small,Space Junkies,"jonathan thompson, xavier roberts","landon mcintyre, matt bishop",21,18,Pool Play,2023springspike,4.0 Advanced w/NHZ
Jaxon and Bryson,R-City Runners,"bryson ripley, riley halley","corbin randall, kyle sharp",21,15,Pool Play,2023springspike,4.0 Advanced w/NHZ
Average but Savage bros,#nodinks,"benson shaw, jacob shaw","matthew porter, nathan brueck",21,16,Pool Play,2023springspike,3.0 Intermediate
Channelview champs,Spiked Punch,"hunter steenbakkers, tyler caswell","sawyer denti, bri nicholson",21,16,Pool Play,2023springspike,3.0 Intermediate
The Primes,Blue team,"camren harris, jon jacobs","adam brueck, jacob brueck",21,9,Pool Play,2023springspike,3.0 Intermediate
Final Form?,Giggle Gang,"kiya hilton, wheeler henriksen","braydon oler, sidney pharr",3,21,Pool Play,2023springspike,3.0 Intermediate
Average but Savage bros,Spiked Punch,"benson shaw, jacob shaw","sawyer denti, bri nicholson",21,16,Pool Play,2023springspike,3.0 Intermediate
Topper g’s,#nodinks,"jaggyr roundy, triston robb","matthew porter, nathan brueck",15,21,Pool Play,2023springspike,3.0 Intermediate
The Primes,Giggle Gang,"camren harris, jon jacobs","braydon oler, sidney pharr",21,18,Pool Play,2023springspike,3.0 Intermediate
Boggleadites,Blue team,"braxton booth, jackson dean","adam brueck, jacob brueck",19,21,Pool Play,2023springspike,3.0 Intermediate
Average but Savage bros,Topper g’s,"benson shaw, jacob shaw","jaggyr roundy, triston robb",21,14,Pool Play,2023springspike,3.0 Intermediate
Channelview champs,#nodinks,"hunter steenbakkers, tyler caswell","matthew porter, nathan brueck",21,17,Pool Play,2023springspike,3.0 Intermediate
The Primes,Boggleadites,"camren harris, jon jacobs","braxton booth, jackson dean",21,16,Pool Play,2023springspike,3.0 Intermediate
Final Form?,Blue team,"kiya hilton, wheeler henriksen","adam brueck, jacob brueck",9,21,Pool Play,2023springspike,3.0 Intermediate
Channelview champs,Topper g’s,"hunter steenbakkers, tyler caswell","jaggyr roundy, triston robb",21,10,Pool Play,2023springspike,3.0 Intermediate
Spiked Punch,#nodinks,"sawyer denti, bri nicholson","matthew porter, nathan brueck",16,21,Pool Play,2023springspike,3.0 Intermediate
Final Form?,Boggleadites,"kiya hilton, wheeler henriksen","braxton booth, jackson dean",8,21,Pool Play,2023springspike,3.0 Intermediate
Giggle Gang,Blue team,"braydon oler, sidney pharr","adam brueck, jacob brueck",21,8,Pool Play,2023springspike,3.0 Intermediate
Average but Savage bros,Channelview champs,"benson shaw, jacob shaw","hunter steenbakkers, tyler caswell",24,22,Pool Play,2023springspike,3.0 Intermediate
Topper g’s,Spiked Punch,"jaggyr roundy, triston robb","sawyer denti, bri nicholson",7,21,Pool Play,2023springspike,3.0 Intermediate
The Primes,Final Form?,"camren harris, jon jacobs","kiya hilton, wheeler henriksen",21,10,Pool Play,2023springspike,3.0 Intermediate
Boggleadites,Giggle Gang,"braxton booth, jackson dean","braydon oler, sidney pharr",13,21,Pool Play,2023springspike,3.0 Intermediate
The Best Fortnite Duo at OMS,Infinite Roundnet,"daulton monkress, logan grigg","cade cote, kyler cote",21,16,Bracket play round of Round of 32 game 1,2023springspike,4.5 Elite w/NHZ
The Best Fortnite Duo at OMS,Infinite Roundnet,"daulton monkress, logan grigg","cade cote, kyler cote",19,21,Bracket play round of Round of 32 game 2,2023springspike,4.5 Elite w/NHZ
The Best Fortnite Duo at OMS,Infinite Roundnet,"daulton monkress, logan grigg","cade cote, kyler cote",15,13,Bracket play round of Round of 32 game 3,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,The Best Fortnite Duo at OMS,"chandler hertzler, garrett carver","daulton monkress, logan grigg",21,9,Bracket play round of Round of 16 game 1,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,The Best Fortnite Duo at OMS,"chandler hertzler, garrett carver","daulton monkress, logan grigg",21,12,Bracket play round of Round of 16 game 2,2023springspike,4.5 Elite w/NHZ
Threat Level Midnight,Lurp Lords,"brady price, joseph barron","alex tamang, ethan carr",21,14,Bracket play round of Round of 16 game 1,2023springspike,4.5 Elite w/NHZ
Threat Level Midnight,Lurp Lords,"brady price, joseph barron","alex tamang, ethan carr",19,21,Bracket play round of Round of 16 game 2,2023springspike,4.5 Elite w/NHZ
Threat Level Midnight,Lurp Lords,"brady price, joseph barron","alex tamang, ethan carr",16,21,Bracket play round of Round of 16 game 3,2023springspike,4.5 Elite w/NHZ
Net Worth,Cool as beans,"andrew greer, matt barlow","aaron fox, ashton lee",15,10,Bracket play round of Round of 16 game 1,2023springspike,4.5 Elite w/NHZ
Net Worth,Cool as beans,"andrew greer, matt barlow","aaron fox, ashton lee",15,10,Bracket play round of Round of 16 game 2,2023springspike,4.5 Elite w/NHZ
Net worth,Turkey Bowl Champs,"bowen maynard, grant turpin","taylor sanford, tyler stokes",15,21,Bracket play round of Round of 16 game 1,2023springspike,4.5 Elite w/NHZ
Net worth,Turkey Bowl Champs,"bowen maynard, grant turpin","taylor sanford, tyler stokes",12,21,Bracket play round of Round of 16 game 2,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,Lurp Lords,"chandler hertzler, garrett carver","alex tamang, ethan carr",21,17,Bracket play round of Quarter-finals game 1,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,Lurp Lords,"chandler hertzler, garrett carver","alex tamang, ethan carr",21,15,Bracket play round of Quarter-finals game 2,2023springspike,4.5 Elite w/NHZ
Net Worth,Turkey Bowl Champs,"andrew greer, matt barlow","taylor sanford, tyler stokes",21,11,Bracket play round of Quarter-finals game 1,2023springspike,4.5 Elite w/NHZ
Net Worth,Turkey Bowl Champs,"andrew greer, matt barlow","taylor sanford, tyler stokes",21,14,Bracket play round of Quarter-finals game 2,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,Net Worth,"chandler hertzler, garrett carver","andrew greer, matt barlow",21,17,Bracket play round of Semi-finals game 1,2023springspike,4.5 Elite w/NHZ
Chandler is my handler,Net Worth,"chandler hertzler, garrett carver","andrew greer, matt barlow",21,15,Bracket play round of Semi-finals game 2,2023springspike,4.5 Elite w/NHZ
Turkey Bowl Champs,Lurp Lords,"taylor sanford, tyler stokes","alex tamang, ethan carr",0,1,Bracket play round of P5: Semi-finals game 1,2023springspike,4.5 Elite w/NHZ
Turkey Bowl Champs,Lurp Lords,"taylor sanford, tyler stokes","alex tamang, ethan carr",0,1,Bracket play round of P5: Semi-finals game 2,2023springspike,4.5 Elite w/NHZ
Fellers with (and without) Beards,The English Setters,"daniel feller, mo beard","dylan mundy, remi prince",-1,-1,Bracket play round of P5: Final game 1,2023springspike,4.5 Elite w/NHZ
Fellers with (and without) Beards,The English Setters,"daniel feller, mo beard","dylan mundy, remi prince",-1,-1,Bracket play round of P5: Final game 2,2023springspike,4.5 Elite w/NHZ
Fellers with (and without) Beards,The English Setters,"daniel feller, mo beard","dylan mundy, remi prince",-1,-1,Bracket play round of P5: Final game 3,2023springspike,4.5 Elite w/NHZ
Threat Level Midnight,The Best Fortnite Duo at OMS,"brady price, joseph barron","daulton monkress, logan grigg",21,14,Bracket play round of P9: Quarter-finals game 1,2023springspike,4.5 Elite w/NHZ
Threat Level Midnight,The Best Fortnite Duo at OMS,"brady price, joseph barron","daulton monkress, logan grigg",21,18,Bracket play round of P9: Quarter-finals game 2,2023springspike,4.5 Elite w/NHZ
Net worth,Cool as beans,"bowen maynard, grant turpin","aaron fox, ashton lee",21,18,Bracket play round of P9: Quarter-finals game 1,2023springspike,4.5 Elite w/NHZ
Net worth,Cool as beans,"bowen maynard, grant turpin","aaron fox, ashton lee",21,19,Bracket play round of P9: Quarter-finals game 2,2023springspike,4.5 Elite w/NHZ
Threat Level Midnight,Net worth,"brady price, joseph barron","bowen maynard, grant turpin",21,14,Bracket play round of P9: Semi-finals game 1,2023springspike,4.5 Elite w/NHZ
Threat Level Midnight,Net worth,"brady price, joseph barron","bowen maynard, grant turpin",21,17,Bracket play round of P9: Semi-finals game 2,2023springspike,4.5 Elite w/NHZ
Spaghetti-Os,Ryder Riva Wannabes,"mitch frei, seth lee","cade wallace, garrett walter",16,21,Bracket play round of P9: Final game 1,2023springspike,4.5 Elite w/NHZ
Spaghetti-Os,Ryder Riva Wannabes,"mitch frei, seth lee","cade wallace, garrett walter",17,21,Bracket play round of P9: Final game 2,2023springspike,4.5 Elite w/NHZ
Ace of Spikes,Spaghetti-Os,"braxton wheatley, zach jones","mitch frei, seth lee",17,21,Bracket play round of 9th place game 1,2023springspike,4.5 Elite w/NHZ
Ace of Spikes,Spaghetti-Os,"braxton wheatley, zach jones","mitch frei, seth lee",16,21,Bracket play round of 9th place game 2,2023springspike,4.5 Elite w/NHZ
Ryder Riva Wannabes,Daniel/Preston,"cade wallace, garrett walter","daniel wight, preston haight",21,19,Bracket play round of 9th place game 1,2023springspike,4.5 Elite w/NHZ
Ryder Riva Wannabes,Daniel/Preston,"cade wallace, garrett walter","daniel wight, preston haight",19,21,Bracket play round of 9th place game 2,2023springspike,4.5 Elite w/NHZ
Ryder Riva Wannabes,Daniel/Preston,"cade wallace, garrett walter","daniel wight, preston haight",15,12,Bracket play round of 9th place game 3,2023springspike,4.5 Elite w/NHZ
Cool as beans,The Best Fortnite Duo at OMS,"aaron fox, ashton lee","daulton monkress, logan grigg",21,9,Bracket play round of P13: Semi-finals game 1,2023springspike,4.5 Elite w/NHZ
Cool as beans,The Best Fortnite Duo at OMS,"aaron fox, ashton lee","daulton monkress, logan grigg",21,11,Bracket play round of P13: Semi-finals game 2,2023springspike,4.5 Elite w/NHZ
Daniel/Preston,Ace of Spikes,"daniel wight, preston haight","braxton wheatley, zach jones",0,1,Bracket play round of P13: Final game 1,2023springspike,4.5 Elite w/NHZ
