Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
noah on two,Out of Pocket,"colton anderson, noah hasebi","christopher marcusen, stewart dalziel",18,16,Pool Play,2023spike-night,4.0 Advanced w/NHZ
dummy dummy dummy,Spicy Spikers,"joshua townsend, jonny hiatt","bryson ripley, thatcher casperson",15,9,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Sibling Supremacy,NET-FLICKS,"nathan straddeck, spencer straddeck","austin beckstead, jason fitt",15,8,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Chef's Beans,Spike-a-delic,"mario trujillo-auffant, steven goodrich","hunter steenbakkers, tyler caswell",15,7,Pool Play,2023spike-night,4.0 Advanced w/NHZ
giggle gang,Gabe's Replacement,"braydon oler, sidney pharr","coby gardner, gabe bautista",15,12,Pool Play,2023spike-night,4.0 Advanced w/NHZ
Trademarked ™,noah on two,"becca feller, sam turner","colton anderson, noah hasebi",16,14,Pool Play,2023spike-night,4.0 Advanced w/NHZ
The snack that smiles back,Yee haw,"austin sosa, davis kearl","josh hoagland, micah yerman",21,17,Pool Play,2023spike-night,3.0 Intermediate
What’s up Denny’s,soggy cardboard,"hiram perez, steven rich","aleah gregory, haley cowan",16,21,Pool Play,2023spike-night,3.0 Intermediate
ÖDMJUK,K Strong,"matthew wilson, taylor wilson","mike oman, shandon lindquist",18,21,Pool Play,2023spike-night,3.0 Intermediate
Spike Sisterhood,Predators,"camille nguyen, katie inman","cooper johnson, logan johnson",16,21,Pool Play,2023spike-night,3.0 Intermediate
Ball bouncers,Monkey never cramps,"matt vindas, taylor fuhriman","carter england, samuel england",0,5,Pool Play,2023spike-night,3.0 Intermediate
Spiker Gang,Katara and sokka,"jeremy porter, tyler curtis","devin tuttle, kaden backlund",21,15,Pool Play,2023spike-night,3.0 Intermediate
The snack that smiles back,soggy cardboard,"austin sosa, davis kearl","aleah gregory, haley cowan",21,18,Pool Play,2023spike-night,3.0 Intermediate
What’s up Denny’s,ÖDMJUK,"hiram perez, steven rich","matthew wilson, taylor wilson",13,21,Pool Play,2023spike-night,3.0 Intermediate
K Strong,Yee haw,"mike oman, shandon lindquist","josh hoagland, micah yerman",21,7,Pool Play,2023spike-night,3.0 Intermediate
Spike Sisterhood,Monkey never cramps,"camille nguyen, katie inman","carter england, samuel england",21,23,Pool Play,2023spike-night,3.0 Intermediate
Ball bouncers,Spiker Gang,"matt vindas, taylor fuhriman","jeremy porter, tyler curtis",0,5,Pool Play,2023spike-night,3.0 Intermediate
Katara and sokka,Predators,"devin tuttle, kaden backlund","cooper johnson, logan johnson",8,21,Pool Play,2023spike-night,3.0 Intermediate
The snack that smiles back,K Strong,"austin sosa, davis kearl","mike oman, shandon lindquist",10,21,Pool Play,2023spike-night,3.0 Intermediate
What’s up Denny’s,Yee haw,"hiram perez, steven rich","josh hoagland, micah yerman",20,22,Pool Play,2023spike-night,3.0 Intermediate
ÖDMJUK,soggy cardboard,"matthew wilson, taylor wilson","aleah gregory, haley cowan",21,19,Pool Play,2023spike-night,3.0 Intermediate
Spike Sisterhood,Katara and sokka,"camille nguyen, katie inman","devin tuttle, kaden backlund",21,16,Pool Play,2023spike-night,3.0 Intermediate
Ball bouncers,Predators,"matt vindas, taylor fuhriman","cooper johnson, logan johnson",0,5,Pool Play,2023spike-night,3.0 Intermediate
Spiker Gang,Monkey never cramps,"jeremy porter, tyler curtis","carter england, samuel england",12,21,Pool Play,2023spike-night,3.0 Intermediate
The snack that smiles back,ÖDMJUK,"austin sosa, davis kearl","matthew wilson, taylor wilson",19,21,Pool Play,2023spike-night,3.0 Intermediate
What’s up Denny’s,K Strong,"hiram perez, steven rich","mike oman, shandon lindquist",11,21,Pool Play,2023spike-night,3.0 Intermediate
soggy cardboard,Yee haw,"aleah gregory, haley cowan","josh hoagland, micah yerman",19,21,Pool Play,2023spike-night,3.0 Intermediate
Spike Sisterhood,Spiker Gang,"camille nguyen, katie inman","jeremy porter, tyler curtis",15,21,Pool Play,2023spike-night,3.0 Intermediate
Ball bouncers,Katara and sokka,"matt vindas, taylor fuhriman","devin tuttle, kaden backlund",0,5,Pool Play,2023spike-night,3.0 Intermediate
Monkey never cramps,Predators,"carter england, samuel england","cooper johnson, logan johnson",19,21,Pool Play,2023spike-night,3.0 Intermediate
The snack that smiles back,What’s up Denny’s,"austin sosa, davis kearl","hiram perez, steven rich",25,24,Pool Play,2023spike-night,3.0 Intermediate
ÖDMJUK,Yee haw,"matthew wilson, taylor wilson","josh hoagland, micah yerman",22,20,Pool Play,2023spike-night,3.0 Intermediate
K Strong,soggy cardboard,"mike oman, shandon lindquist","aleah gregory, haley cowan",21,14,Pool Play,2023spike-night,3.0 Intermediate
Spike Sisterhood,Ball bouncers,"camille nguyen, katie inman","matt vindas, taylor fuhriman",5,0,Pool Play,2023spike-night,3.0 Intermediate
Spiker Gang,Predators,"jeremy porter, tyler curtis","cooper johnson, logan johnson",21,12,Pool Play,2023spike-night,3.0 Intermediate
Katara and sokka,Monkey never cramps,"devin tuttle, kaden backlund","carter england, samuel england",12,22,Pool Play,2023spike-night,3.0 Intermediate
good.,Traffic Jams,"chandler hertzler, taylor church","chris sorensen, jason gurney",21,8,Bracket play round of Round of 16 game 1,2023spike-night,4.5 Elite w/NHZ
good.,Traffic Jams,"chandler hertzler, taylor church","chris sorensen, jason gurney",21,9,Bracket play round of Round of 16 game 2,2023spike-night,4.5 Elite w/NHZ
Feller/Page,Traffic Jams,"daniel feller, jacob page","chris sorensen, jason gurney",21,6,Bracket play round of P9: Quarter-finals game 1,2023spike-night,4.5 Elite w/NHZ
Feller/Page,Traffic Jams,"daniel feller, jacob page","chris sorensen, jason gurney",21,12,Bracket play round of P9: Quarter-finals game 2,2023spike-night,4.5 Elite w/NHZ
Past my Bedtime,Unfair Advantage,"kyler cote, mo beard","cade cote, max wright",24,22,Bracket play round of P9: Quarter-finals game 1,2023spike-night,4.5 Elite w/NHZ
Past my Bedtime,Unfair Advantage,"kyler cote, mo beard","cade cote, max wright",23,21,Bracket play round of P9: Quarter-finals game 2,2023spike-night,4.5 Elite w/NHZ
Feller/Page,Past my Bedtime,"daniel feller, jacob page","kyler cote, mo beard",24,22,Bracket play round of P9: Semi-finals game 1,2023spike-night,4.5 Elite w/NHZ
Feller/Page,Past my Bedtime,"daniel feller, jacob page","kyler cote, mo beard",21,11,Bracket play round of P9: Semi-finals game 2,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Double Fault,"joseph barron, seth lee","luke cook, nathan avalos",17,21,Bracket play round of P9: Final game 1,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Double Fault,"joseph barron, seth lee","luke cook, nathan avalos",21,18,Bracket play round of P9: Final game 2,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Double Fault,"joseph barron, seth lee","luke cook, nathan avalos",21,19,Bracket play round of P9: Final game 3,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Father son,"joseph barron, seth lee","devin tuttle, todd tuttle",21,18,Bracket play round of 9th place game 1,2023spike-night,4.5 Elite w/NHZ
Seth Level Midnight,Father son,"joseph barron, seth lee","devin tuttle, todd tuttle",21,11,Bracket play round of 9th place game 2,2023spike-night,4.5 Elite w/NHZ
Double Fault,L&L’s Hawaiian food,"luke cook, nathan avalos","lazarus shettell, levi arzac",21,16,Bracket play round of 9th place game 1,2023spike-night,4.5 Elite w/NHZ
