Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Trippy Bois,Exponentially Average,"c.j. sison, brandon farronato","john lape, joshua ang",-1,-1,Bracket play round of P9: Quarter-finals game 3,rotcyork,Challenger
FCR ICEBERGS,Milk Men,"isaiah bergsma, nelson bergsma","brendan reesor, derek soetemans",0,2,Bracket play round of P9: Quarter-finals game 1,rotcyork,Challenger
FCR ICEBERGS,Milk Men,"isaiah bergsma, nelson bergsma","brendan reesor, derek soetemans",2,0,Bracket play round of P9: Quarter-finals game 2,rotcyork,Challenger
FCR ICEBERGS,Milk Men,"isaiah bergsma, nelson bergsma","brendan reesor, derek soetemans",2,0,Bracket play round of P9: Quarter-finals game 3,rotcyork,Challenger
FCR Bologna Serves,GDM Early Investors,"jordan arnott, connor guinness","adrian garcea, dylan mark",-1,0,Bracket play round of P9: Final game 1,rotcyork,Challenger
Tripod Hinder,FCR Bologna Serves,"joey renaud, jordan brandes","jordan arnott, connor guinness",20,22,Bracket play round of 9th place game 1,rotcyork,Challenger
Tripod Hinder,FCR Bologna Serves,"joey renaud, jordan brandes","jordan arnott, connor guinness",-1,0,Bracket play round of 9th place game 2,rotcyork,Challenger
Tripod Hinder,FCR Bologna Serves,"joey renaud, jordan brandes","jordan arnott, connor guinness",-1,-1,Bracket play round of 9th place game 3,rotcyork,Challenger
W's Only,GDM Early Investors,"conrad wagler, jaden weber","adrian garcea, dylan mark",17,21,Bracket play round of 9th place game 1,rotcyork,Challenger
W's Only,GDM Early Investors,"conrad wagler, jaden weber","adrian garcea, dylan mark",-1,0,Bracket play round of 9th place game 2,rotcyork,Challenger
W's Only,Tripod Hinder,"conrad wagler, jaden weber","joey renaud, jordan brandes",-1,-1,Bracket play round of P13: Final game 1,rotcyork,Challenger
W's Only,Tripod Hinder,"conrad wagler, jaden weber","joey renaud, jordan brandes",-1,-1,Bracket play round of P13: Final game 1,rotcyork,Challenger
