Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Beef Supreme,Nice Guys,"jeff aselin, sean berg","bryan pustolka, mike hamilton",0,1,Bracket play round of 9th place game 2,ers23bos,Open 4.5+
PBR ELBROS,Out spin the pocket,"joel morrell, michael capobianco","isaiah milgroom, matt garbecki",14,21,Bracket play round of 9th place game 1,ers23bos,Open 4.5+
PBR ELBROS,Out spin the pocket,"joel morrell, michael capobianco","isaiah milgroom, matt garbecki",14,21,Bracket play round of 9th place game 2,ers23bos,Open 4.5+
General Tso’s Chicken,Jav a Stella Day,"brody ulrich, scotty mccabe","javier vidal, thomas estella",-1,-1,Bracket play round of P13: Semi-finals game 1,ers23bos,Open 4.5+
General Tso’s Chicken,Jav a Stella Day,"brody ulrich, scotty mccabe","javier vidal, thomas estella",-1,-1,Bracket play round of P13: Semi-finals game 2,ers23bos,Open 4.5+
General Tso’s Chicken,Jav a Stella Day,"brody ulrich, scotty mccabe","javier vidal, thomas estella",-1,-1,Bracket play round of P13: Semi-finals game 3,ers23bos,Open 4.5+
PBR ELBROS,Beef Supreme,"joel morrell, michael capobianco","jeff aselin, sean berg",-1,-1,Bracket play round of P13: Final game 1,ers23bos,Open 4.5+
PBR ELBROS,Beef Supreme,"joel morrell, michael capobianco","jeff aselin, sean berg",-1,-1,Bracket play round of P13: Final game 2,ers23bos,Open 4.5+
PBR ELBROS,Beef Supreme,"joel morrell, michael capobianco","jeff aselin, sean berg",-1,-1,Bracket play round of P13: Final game 3,ers23bos,Open 4.5+
GTCOMS,Chiva Hermanos,"ethan tanguay, michael bagdasarian","camilo cruz, edgar cruz",21,19,Bracket play round of P17: Round of 16 game 1,ers23bos,Open 4.5+
GTCOMS,Chiva Hermanos,"ethan tanguay, michael bagdasarian","camilo cruz, edgar cruz",21,18,Bracket play round of P17: Round of 16 game 2,ers23bos,Open 4.5+
Borderline Misconduct,GTCOMS,"gabe packevicz, jason mcgrath","ethan tanguay, michael bagdasarian",13,15,Bracket play round of P17: Quarter-finals game 1,ers23bos,Open 4.5+
Borderline Misconduct,GTCOMS,"gabe packevicz, jason mcgrath","ethan tanguay, michael bagdasarian",13,15,Bracket play round of P17: Quarter-finals game 2,ers23bos,Open 4.5+
Jam Ranch,BigLam,"julian bouratoglou, matthew vivian","abigale lamontagne, jackson biggs",-1,-1,Bracket play round of P17: Quarter-finals game 1,ers23bos,Open 4.5+
Jam Ranch,BigLam,"julian bouratoglou, matthew vivian","abigale lamontagne, jackson biggs",-1,-1,Bracket play round of P17: Quarter-finals game 2,ers23bos,Open 4.5+
Jam Ranch,BigLam,"julian bouratoglou, matthew vivian","abigale lamontagne, jackson biggs",-1,-1,Bracket play round of P17: Quarter-finals game 3,ers23bos,Open 4.5+
Fresh Cuts,CEOs of Spikeball,"ethan westfall, jon lefrois","alex walraven, allen hornberger",1,0,Bracket play round of 17th place game 1,ers23bos,Open 4.5+
Fresh Cuts,CEOs of Spikeball,"ethan westfall, jon lefrois","alex walraven, allen hornberger",1,0,Bracket play round of 17th place game 2,ers23bos,Open 4.5+
CEOs of Spikeball,ZK Spikes,"alex walraven, allen hornberger","kennedy nguyen, zachary seguin",1,0,Bracket play round of 19th place game 1,ers23bos,Open 4.5+
CEOs of Spikeball,ZK Spikes,"alex walraven, allen hornberger","kennedy nguyen, zachary seguin",1,0,Bracket play round of 19th place game 2,ers23bos,Open 4.5+
Pocket Watching,Hot 'n Ready,"carson wallace, liam white","carter c, micah chan",-1,-1,Bracket play round of 19th place game 1,ers23bos,Open 4.5+
Pocket Watching,Hot 'n Ready,"carson wallace, liam white","carter c, micah chan",-1,-1,Bracket play round of 19th place game 2,ers23bos,Open 4.5+
Pocket Watching,Hot 'n Ready,"carson wallace, liam white","carter c, micah chan",-1,-1,Bracket play round of 19th place game 3,ers23bos,Open 4.5+
Tots,Team TBD,"fiona c, mollyan killingbeck","anna healy, kristi vanprooyen",21,9,Bracket play round of Quarter-finals game 1,ers23bos,Women's 3.0+
Tots,Team TBD,"fiona c, mollyan killingbeck","anna healy, kristi vanprooyen",21,11,Bracket play round of Quarter-finals game 2,ers23bos,Women's 3.0+
Kalau / Lourna,Delemma,"kalau tanaka-pesamino, lourna szabanos","delaney weiss, emma skantze",19,21,Bracket play round of Quarter-finals game 1,ers23bos,Women's 3.0+
Kalau / Lourna,Delemma,"kalau tanaka-pesamino, lourna szabanos","delaney weiss, emma skantze",26,24,Bracket play round of Quarter-finals game 2,ers23bos,Women's 3.0+
Kalau / Lourna,Delemma,"kalau tanaka-pesamino, lourna szabanos","delaney weiss, emma skantze",15,21,Bracket play round of Quarter-finals game 3,ers23bos,Women's 3.0+
Tots,Delemma,"fiona c, mollyan killingbeck","delaney weiss, emma skantze",21,17,Bracket play round of Semi-finals game 1,ers23bos,Women's 3.0+
Tots,Delemma,"fiona c, mollyan killingbeck","delaney weiss, emma skantze",18,21,Bracket play round of Semi-finals game 2,ers23bos,Women's 3.0+
Tots,Delemma,"fiona c, mollyan killingbeck","delaney weiss, emma skantze",21,18,Bracket play round of Semi-finals game 3,ers23bos,Women's 3.0+
Mindmeld,Bad Sets- Siena,"antara ramkumar, tess dolan","mckenzie faherty, sarah vilardo",18,21,Bracket play round of Final game 1,ers23bos,Women's 3.0+
Mindmeld,Bad Sets- Siena,"antara ramkumar, tess dolan","mckenzie faherty, sarah vilardo",7,21,Bracket play round of Final game 2,ers23bos,Women's 3.0+
Mindmeld,Abbey / Nolen Belle,"antara ramkumar, tess dolan","abbey mui, nolen belle bryant",21,12,Bracket play round of 1st place game 1,ers23bos,Women's 3.0+
Mindmeld,Abbey / Nolen Belle,"antara ramkumar, tess dolan","abbey mui, nolen belle bryant",21,6,Bracket play round of 1st place game 2,ers23bos,Women's 3.0+
Bad Sets- Siena,Winner? I hardly know 'er,"mckenzie faherty, sarah vilardo","emma wright, zozo tahawi",21,10,Bracket play round of 1st place game 1,ers23bos,Women's 3.0+
Bad Sets- Siena,Winner? I hardly know 'er,"mckenzie faherty, sarah vilardo","emma wright, zozo tahawi",21,10,Bracket play round of 1st place game 2,ers23bos,Women's 3.0+
Kalau / Lourna,Team TBD,"kalau tanaka-pesamino, lourna szabanos","anna healy, kristi vanprooyen",21,8,Bracket play round of P5: Semi-finals game 1,ers23bos,Women's 3.0+
Kalau / Lourna,Team TBD,"kalau tanaka-pesamino, lourna szabanos","anna healy, kristi vanprooyen",21,18,Bracket play round of P5: Semi-finals game 2,ers23bos,Women's 3.0+
Winner? I hardly know 'er,Abbey / Nolen Belle,"emma wright, zozo tahawi","abbey mui, nolen belle bryant",21,17,Bracket play round of P5: Final game 1,ers23bos,Women's 3.0+
Winner? I hardly know 'er,Abbey / Nolen Belle,"emma wright, zozo tahawi","abbey mui, nolen belle bryant",21,19,Bracket play round of P5: Final game 2,ers23bos,Women's 3.0+
Kalau / Lourna,Team TBD,"kalau tanaka-pesamino, lourna szabanos","anna healy, kristi vanprooyen",21,8,Bracket play round of P5: Semi-finals game 1,ers23bos,Women's 3.0+
Kalau / Lourna,Team TBD,"kalau tanaka-pesamino, lourna szabanos","anna healy, kristi vanprooyen",21,18,Bracket play round of P5: Semi-finals game 2,ers23bos,Women's 3.0+
Winner? I hardly know 'er,Abbey / Nolen Belle,"emma wright, zozo tahawi","abbey mui, nolen belle bryant",21,17,Bracket play round of P5: Final game 1,ers23bos,Women's 3.0+
Winner? I hardly know 'er,Abbey / Nolen Belle,"emma wright, zozo tahawi","abbey mui, nolen belle bryant",21,19,Bracket play round of P5: Final game 2,ers23bos,Women's 3.0+
