Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
CRO Indi Partners,FCR 808 Chicken House,"austin ha, joshua hachey","eric pierce, jordan arnott",15,7,Pool Play,rotc-london,Challenger
Till We Spike Again,FCR Mesh Avoiders,"aaron charette, trevor fleming","gabriel contursi, jake choi",15,9,Pool Play,rotc-london,Challenger
CRO rimmer season,🅱️RO Colin too heavy,"nicholas puopolo, tyler babin","kyle jeung, brandon farronato",15,9,Pool Play,rotc-london,Challenger
Milk Men,SWAT Team,"brendan reesor, derek soetemans","jack robinson, jordan martin",15,10,Pool Play,rotc-london,Challenger
FCR Mesh Finders,NEM Rivals,"isaiah bergsma, nethaniel gabriel","brendan muggeridge, jesse paul",15,11,Pool Play,rotc-london,Challenger
Defected,Sum(m)er Tim(e),"calyn kir, reilly paquette","tim clifford, sumer dass",11,15,Pool Play,rotc-london,Challenger
CRO wide ang/goh,Los Kid Cutty,"jared ang, nathan goh","luis serrano, ricardo boscan",15,8,Pool Play,rotc-london,Challenger
FREE SMOKE,CRO Summer School,"gorgin fazli, josh sarmiento","adrian garcea, gavin de moura",7,15,Pool Play,rotc-london,Challenger
CRO Bombs Away!,CRO save the fishies,"anthony cho, shane soto","eric reinke, shakil nobes",15,13,Pool Play,rotc-london,Challenger
Flick Merchants,Balls Up,"adam hassan, c.j. sison","cody ravindran, siddhartha datta",15,13,Pool Play,rotc-london,Challenger
FCR Left-overs,Ang/Cheung,"chris loubert, mo elmoursi","joshua ang, tim cheung",16,14,Pool Play,rotc-london,Challenger
Nem Meticulous,CRO Indi Partners,"ben pernfuss, brock .roundnet","austin ha, joshua hachey",15,12,Pool Play,rotc-london,Challenger
PB & J,FCR Mesh Avoiders,"bryan fonseca, peter lam","gabriel contursi, jake choi",15,11,Pool Play,rotc-london,Challenger
FCR 808 Chicken House,Till We Spike Again,"eric pierce, jordan arnott","aaron charette, trevor fleming",12,15,Pool Play,rotc-london,Challenger
Jazzy Bluebs,tbd,"dianne fonseca, shonda couroux","erica vanbesien, julia trocchi",15,4,Pool Play,rotc-london,Women's
Yang YANG!!!,CRO clean freaks,"rosemay diaz, sophia yu","anicea saliba, jessica roman",15,5,Pool Play,rotc-london,Women's
The Manatees,Hit or Miss,"emma robertson, katie robertson","leah st clair, lois radu",15,10,Pool Play,rotc-london,Women's
Banana and Egg,I love spikeball!,"rachel cheung, ruby tang","naomi campbell, sylvia dean",15,11,Pool Play,rotc-london,Women's
Jazzy Bluebs,CRO clean freaks,"dianne fonseca, shonda couroux","anicea saliba, jessica roman",15,4,Pool Play,rotc-london,Women's
Yang YANG!!!,I love spikeball!,"rosemay diaz, sophia yu","naomi campbell, sylvia dean",15,11,Pool Play,rotc-london,Women's
The Manatees,Banana and Egg,"emma robertson, katie robertson","rachel cheung, ruby tang",15,8,Pool Play,rotc-london,Women's
Hit or Miss,tbd,"leah st clair, lois radu","erica vanbesien, julia trocchi",15,12,Pool Play,rotc-london,Women's
Jazzy Bluebs,Hit or Miss,"dianne fonseca, shonda couroux","leah st clair, lois radu",15,6,Pool Play,rotc-london,Women's
Yang YANG!!!,The Manatees,"rosemay diaz, sophia yu","emma robertson, katie robertson",15,11,Pool Play,rotc-london,Women's
Banana and Egg,tbd,"rachel cheung, ruby tang","erica vanbesien, julia trocchi",15,4,Pool Play,rotc-london,Women's
I love spikeball!,CRO clean freaks,"naomi campbell, sylvia dean","anicea saliba, jessica roman",15,3,Pool Play,rotc-london,Women's
Jazzy Bluebs,I love spikeball!,"dianne fonseca, shonda couroux","naomi campbell, sylvia dean",15,11,Pool Play,rotc-london,Women's
Yang YANG!!!,tbd,"rosemay diaz, sophia yu","erica vanbesien, julia trocchi",15,8,Pool Play,rotc-london,Women's
The Manatees,CRO clean freaks,"emma robertson, katie robertson","anicea saliba, jessica roman",15,7,Pool Play,rotc-london,Women's
Banana and Egg,Hit or Miss,"rachel cheung, ruby tang","leah st clair, lois radu",15,5,Pool Play,rotc-london,Women's
Jazzy Bluebs,Banana and Egg,"dianne fonseca, shonda couroux","rachel cheung, ruby tang",15,9,Pool Play,rotc-london,Women's
Yang YANG!!!,Hit or Miss,"rosemay diaz, sophia yu","leah st clair, lois radu",15,4,Pool Play,rotc-london,Women's
The Manatees,I love spikeball!,"emma robertson, katie robertson","naomi campbell, sylvia dean",15,8,Pool Play,rotc-london,Women's
CRO clean freaks,tbd,"anicea saliba, jessica roman","erica vanbesien, julia trocchi",15,6,Pool Play,rotc-london,Women's
Jazzy Bluebs,The Manatees,"dianne fonseca, shonda couroux","emma robertson, katie robertson",15,7,Pool Play,rotc-london,Women's
Yang YANG!!!,Banana and Egg,"rosemay diaz, sophia yu","rachel cheung, ruby tang",15,10,Pool Play,rotc-london,Women's
I love spikeball!,tbd,"naomi campbell, sylvia dean","erica vanbesien, julia trocchi",15,5,Pool Play,rotc-london,Women's
Hit or Miss,CRO clean freaks,"leah st clair, lois radu","anicea saliba, jessica roman",15,6,Pool Play,rotc-london,Women's
Jazzy Bluebs,Yang YANG!!!,"dianne fonseca, shonda couroux","rosemay diaz, sophia yu",16,14,Pool Play,rotc-london,Women's
The Manatees,tbd,"emma robertson, katie robertson","erica vanbesien, julia trocchi",15,6,Pool Play,rotc-london,Women's
Banana and Egg,CRO clean freaks,"rachel cheung, ruby tang","anicea saliba, jessica roman",15,6,Pool Play,rotc-london,Women's
I love spikeball!,Hit or Miss,"naomi campbell, sylvia dean","leah st clair, lois radu",-5,-5,Pool Play,rotc-london,Women's
Bad News SPIKES,The Assassins,"ita brown, josh jesin","ben cylka, jaxen wierenga",15,8,Pool Play,rotc-london,Advanced
The Yips,Spike-a-delic,"richard lam, tim yip","taofiq aziz, udall mo",15,9,Pool Play,rotc-london,Advanced
Wow.,Quality Control,"adam d'angelo, craig baggio","christopher de martin, matthew krikorian",8,15,Pool Play,rotc-london,Advanced
Spankballs,Double Fault Demons,"alex marko, nathan mackay","matthew takemura, wayne santa ana",15,10,Pool Play,rotc-london,Advanced
WRC 🤝 WRC,Hit on 2,"andromeda dean, ezra campanelli","brian quach, guidzag kassabian",9,15,Pool Play,rotc-london,Advanced
Bleary Villagers,Team Reach,"evan krikorian, nicholas de martin","ben huebner, owen fretz",7,15,Pool Play,rotc-london,Advanced
Bad News SPIKES,Spike-a-delic,"ita brown, josh jesin","taofiq aziz, udall mo",15,5,Pool Play,rotc-london,Advanced
The Yips,Wow.,"richard lam, tim yip","adam d'angelo, craig baggio",15,9,Pool Play,rotc-london,Advanced
Quality Control,The Assassins,"christopher de martin, matthew krikorian","ben cylka, jaxen wierenga",15,8,Pool Play,rotc-london,Advanced
Spankballs,Hit on 2,"alex marko, nathan mackay","brian quach, guidzag kassabian",15,11,Pool Play,rotc-london,Advanced
WRC 🤝 WRC,Bleary Villagers,"andromeda dean, ezra campanelli","evan krikorian, nicholas de martin",15,9,Pool Play,rotc-london,Advanced
Team Reach,Double Fault Demons,"ben huebner, owen fretz","matthew takemura, wayne santa ana",15,9,Pool Play,rotc-london,Advanced
Bad News SPIKES,Quality Control,"ita brown, josh jesin","christopher de martin, matthew krikorian",13,15,Pool Play,rotc-london,Advanced
The Yips,The Assassins,"richard lam, tim yip","ben cylka, jaxen wierenga",15,10,Pool Play,rotc-london,Advanced
Wow.,Spike-a-delic,"adam d'angelo, craig baggio","taofiq aziz, udall mo",15,8,Pool Play,rotc-london,Advanced
Spankballs,Team Reach,"alex marko, nathan mackay","ben huebner, owen fretz",11,15,Pool Play,rotc-london,Advanced
WRC 🤝 WRC,Double Fault Demons,"andromeda dean, ezra campanelli","matthew takemura, wayne santa ana",8,15,Pool Play,rotc-london,Advanced
Bleary Villagers,Hit on 2,"evan krikorian, nicholas de martin","brian quach, guidzag kassabian",15,11,Pool Play,rotc-london,Advanced
Bad News SPIKES,Wow.,"ita brown, josh jesin","adam d'angelo, craig baggio",15,12,Pool Play,rotc-london,Advanced
The Yips,Quality Control,"richard lam, tim yip","christopher de martin, matthew krikorian",15,13,Pool Play,rotc-london,Advanced
Spike-a-delic,The Assassins,"taofiq aziz, udall mo","ben cylka, jaxen wierenga",9,15,Pool Play,rotc-london,Advanced
Spankballs,Bleary Villagers,"alex marko, nathan mackay","evan krikorian, nicholas de martin",18,20,Pool Play,rotc-london,Advanced
WRC 🤝 WRC,Team Reach,"andromeda dean, ezra campanelli","ben huebner, owen fretz",16,14,Pool Play,rotc-london,Advanced
Hit on 2,Double Fault Demons,"brian quach, guidzag kassabian","matthew takemura, wayne santa ana",15,8,Pool Play,rotc-london,Advanced
Bad News SPIKES,The Yips,"ita brown, josh jesin","richard lam, tim yip",8,15,Pool Play,rotc-london,Advanced
Wow.,The Assassins,"adam d'angelo, craig baggio","ben cylka, jaxen wierenga",15,13,Pool Play,rotc-london,Advanced
Quality Control,Spike-a-delic,"christopher de martin, matthew krikorian","taofiq aziz, udall mo",15,10,Pool Play,rotc-london,Advanced
Spankballs,WRC 🤝 WRC,"alex marko, nathan mackay","andromeda dean, ezra campanelli",18,17,Pool Play,rotc-london,Advanced
Bleary Villagers,Double Fault Demons,"evan krikorian, nicholas de martin","matthew takemura, wayne santa ana",15,12,Pool Play,rotc-london,Advanced
Team Reach,Hit on 2,"ben huebner, owen fretz","brian quach, guidzag kassabian",15,13,Pool Play,rotc-london,Advanced
Top 1 Percent,Net Gains,"andrew sykes, gray sinden","adam gaunt, kaleigh shantz",15,9,Pool Play,rotc-london,Intermediate
Full sends only,Jim,"josh goud, keltie talbot","jewel jamieson, tim magwood",15,4,Pool Play,rotc-london,Intermediate
Flying Hands,SpikeLoo,"callum paterson, michael rosales","kieran mehta, dylan concessao",22,20,Pool Play,rotc-london,Intermediate
Front Street Boyz,FCR What's Cookin?,"jason vuong, miguel ruiz","james st clair, jeffrey martinovic",15,9,Pool Play,rotc-london,Intermediate
Top 1 Percent,Jim,"andrew sykes, gray sinden","jewel jamieson, tim magwood",15,9,Pool Play,rotc-london,Intermediate
Swinger Bringers,Net Gains,"esmond tse, jacob tam","adam gaunt, kaleigh shantz",15,11,Pool Play,rotc-london,Intermediate
Flying Hands,FCR What's Cookin?,"callum paterson, michael rosales","james st clair, jeffrey martinovic",21,11,Pool Play,rotc-london,Intermediate
The Weewoos,SpikeLoo,"emy niemiec, maxwell mudie","kieran mehta, dylan concessao",0,1,Pool Play,rotc-london,Intermediate
Top 1 Percent,Swinger Bringers,"andrew sykes, gray sinden","esmond tse, jacob tam",15,10,Pool Play,rotc-london,Intermediate
Full sends only,Net Gains,"josh goud, keltie talbot","adam gaunt, kaleigh shantz",15,12,Pool Play,rotc-london,Intermediate
Flying Hands,The Weewoos,"callum paterson, michael rosales","emy niemiec, maxwell mudie",15,0,Pool Play,rotc-london,Intermediate
Front Street Boyz,SpikeLoo,"jason vuong, miguel ruiz","kieran mehta, dylan concessao",15,8,Pool Play,rotc-london,Intermediate
Full sends only,Swinger Bringers,"josh goud, keltie talbot","esmond tse, jacob tam",12,15,Pool Play,rotc-london,Intermediate
Jim,Net Gains,"jewel jamieson, tim magwood","adam gaunt, kaleigh shantz",10,15,Pool Play,rotc-london,Intermediate
Front Street Boyz,The Weewoos,"jason vuong, miguel ruiz","emy niemiec, maxwell mudie",15,0,Pool Play,rotc-london,Intermediate
FCR What's Cookin?,SpikeLoo,"james st clair, jeffrey martinovic","kieran mehta, dylan concessao",15,13,Pool Play,rotc-london,Intermediate
Top 1 Percent,Full sends only,"andrew sykes, gray sinden","josh goud, keltie talbot",15,8,Pool Play,rotc-london,Intermediate
Swinger Bringers,Jim,"esmond tse, jacob tam","jewel jamieson, tim magwood",15,6,Pool Play,rotc-london,Intermediate
Flying Hands,Front Street Boyz,"callum paterson, michael rosales","jason vuong, miguel ruiz",15,12,Pool Play,rotc-london,Intermediate
The Weewoos,FCR What's Cookin?,"emy niemiec, maxwell mudie","james st clair, jeffrey martinovic",0,1,Pool Play,rotc-london,Intermediate
FCR Left-overs,FREE SMOKE,"chris loubert, mo elmoursi","gorgin fazli, josh sarmiento",21,13,Bracket play round of Round of 32 game 1,rotc-london,Challenger
FCR Mesh Finders,SWAT Team,"isaiah bergsma, nethaniel gabriel","jack robinson, jordan martin",21,9,Bracket play round of Round of 32 game 1,rotc-london,Challenger
🅱️RO Colin too heavy,Ang/Cheung,"kyle jeung, brandon farronato","joshua ang, tim cheung",21,14,Bracket play round of Round of 32 game 1,rotc-london,Challenger
Flick Merchants,Los Kid Cutty,"adam hassan, c.j. sison","luis serrano, ricardo boscan",21,8,Bracket play round of Round of 32 game 1,rotc-london,Challenger
CRO rimmer season,FCR Left-overs,"nicholas puopolo, tyler babin","chris loubert, mo elmoursi",21,13,Bracket play round of Round of 16 game 1,rotc-london,Challenger
CRO rimmer season,FCR Left-overs,"nicholas puopolo, tyler babin","chris loubert, mo elmoursi",21,16,Bracket play round of Round of 16 game 2,rotc-london,Challenger
FCR Mesh Finders,CRO wide ang/goh,"isaiah bergsma, nethaniel gabriel","jared ang, nathan goh",20,22,Bracket play round of Round of 16 game 1,rotc-london,Challenger
FCR Mesh Finders,CRO wide ang/goh,"isaiah bergsma, nethaniel gabriel","jared ang, nathan goh",16,21,Bracket play round of Round of 16 game 2,rotc-london,Challenger
CRO save the fishies,🅱️RO Colin too heavy,"eric reinke, shakil nobes","kyle jeung, brandon farronato",19,21,Bracket play round of Round of 16 game 1,rotc-london,Challenger
CRO save the fishies,🅱️RO Colin too heavy,"eric reinke, shakil nobes","kyle jeung, brandon farronato",17,21,Bracket play round of Round of 16 game 2,rotc-london,Challenger
Flick Merchants,Defected,"adam hassan, c.j. sison","calyn kir, reilly paquette",17,21,Bracket play round of Round of 16 game 1,rotc-london,Challenger
Flick Merchants,Defected,"adam hassan, c.j. sison","calyn kir, reilly paquette",16,21,Bracket play round of Round of 16 game 2,rotc-london,Challenger
CRO rimmer season,CRO wide ang/goh,"nicholas puopolo, tyler babin","jared ang, nathan goh",21,16,Bracket play round of Quarter-finals game 1,rotc-london,Challenger
CRO rimmer season,CRO wide ang/goh,"nicholas puopolo, tyler babin","jared ang, nathan goh",16,21,Bracket play round of Quarter-finals game 2,rotc-london,Challenger
CRO rimmer season,CRO wide ang/goh,"nicholas puopolo, tyler babin","jared ang, nathan goh",21,19,Bracket play round of Quarter-finals game 3,rotc-london,Challenger
🅱️RO Colin too heavy,Defected,"kyle jeung, brandon farronato","calyn kir, reilly paquette",31,29,Bracket play round of Quarter-finals game 1,rotc-london,Challenger
🅱️RO Colin too heavy,Defected,"kyle jeung, brandon farronato","calyn kir, reilly paquette",14,21,Bracket play round of Quarter-finals game 2,rotc-london,Challenger
🅱️RO Colin too heavy,Defected,"kyle jeung, brandon farronato","calyn kir, reilly paquette",21,23,Bracket play round of Quarter-finals game 3,rotc-london,Challenger
CRO rimmer season,Defected,"nicholas puopolo, tyler babin","calyn kir, reilly paquette",21,11,Bracket play round of Semi-finals game 1,rotc-london,Challenger
CRO rimmer season,Defected,"nicholas puopolo, tyler babin","calyn kir, reilly paquette",21,18,Bracket play round of Semi-finals game 2,rotc-london,Challenger
Nem Meticulous,CRO Indi Partners,"ben pernfuss, brock .roundnet","austin ha, joshua hachey",17,21,Bracket play round of Final game 1,rotc-london,Challenger
Nem Meticulous,CRO Indi Partners,"ben pernfuss, brock .roundnet","austin ha, joshua hachey",21,15,Bracket play round of Final game 2,rotc-london,Challenger
Nem Meticulous,CRO Indi Partners,"ben pernfuss, brock .roundnet","austin ha, joshua hachey",19,21,Bracket play round of Final game 3,rotc-london,Challenger
Nem Meticulous,Sum(m)er Tim(e),"ben pernfuss, brock .roundnet","tim clifford, sumer dass",21,14,Bracket play round of 1st place game 1,rotc-london,Challenger
Nem Meticulous,Sum(m)er Tim(e),"ben pernfuss, brock .roundnet","tim clifford, sumer dass",21,18,Bracket play round of 1st place game 2,rotc-london,Challenger
CRO Bombs Away!,CRO Indi Partners,"anthony cho, shane soto","austin ha, joshua hachey",17,21,Bracket play round of 1st place game 1,rotc-london,Challenger
CRO Bombs Away!,CRO Indi Partners,"anthony cho, shane soto","austin ha, joshua hachey",19,21,Bracket play round of 1st place game 2,rotc-london,Challenger
Nem Meticulous,Till We Spike Again,"ben pernfuss, brock .roundnet","aaron charette, trevor fleming",21,15,Bracket play round of 3rd place game 1,rotc-london,Challenger
Nem Meticulous,Till We Spike Again,"ben pernfuss, brock .roundnet","aaron charette, trevor fleming",21,17,Bracket play round of 3rd place game 2,rotc-london,Challenger
Sum(m)er Tim(e),Milk Men,"tim clifford, sumer dass","brendan reesor, derek soetemans",21,14,Bracket play round of 3rd place game 1,rotc-london,Challenger
Sum(m)er Tim(e),Milk Men,"tim clifford, sumer dass","brendan reesor, derek soetemans",21,14,Bracket play round of 3rd place game 2,rotc-london,Challenger
CRO Bombs Away!,CRO Summer School,"anthony cho, shane soto","adrian garcea, gavin de moura",21,18,Bracket play round of 3rd place game 1,rotc-london,Challenger
CRO Bombs Away!,CRO Summer School,"anthony cho, shane soto","adrian garcea, gavin de moura",19,21,Bracket play round of 3rd place game 2,rotc-london,Challenger
