Player 1,Player 2,Team Name,Division,Tournament
sara van bruyssel,tess mogensen,Babydroppers,Women's Advanced 4.0+,sts22gent
jana laporte,linde van wambeke,Banana Girls,Women's Advanced 4.0+,sts22gent
alexa peusch,natacha alt,Brezel and Baguette,Women's Advanced 4.0+,sts22gent
emily hill-smith,paulina pojawis,Catch them all,Women's Advanced 4.0+,sts22gent
amy campbell,elien alderweireldt,Chick Flick,Women's Advanced 4.0+,sts22gent
christin gerecke,sabine steidel,cleane turbine,Women's Advanced 4.0+,sts22gent
sarah dougall,sarah joy quibell,Double trouble,Women's Advanced 4.0+,sts22gent
flore roggeman,nancy pausenberger,Flancy,Women's Advanced 4.0+,sts22gent
kristina dettmann,theresa knauf,Flink,Women's Advanced 4.0+,sts22gent
inti baguet,tatiana delbecke,Intiti,Women's Advanced 4.0+,sts22gent
joke dhaese,marte moerman,Joke en Marte,Women's Advanced 4.0+,sts22gent
anaïs duport,juliette dufourcq,Kayaks-Volants,Women's Advanced 4.0+,sts22gent
julie helbecque,mylène hbl,La Ducale,Women's Advanced 4.0+,sts22gent
laura kunzelmann,levke walczak,Lauvke423,Women's Advanced 4.0+,sts22gent
maddy morehouse,nora haas,Nomads,Women's Advanced 4.0+,sts22gent
annemiek uvyn,emma de pestel,Porto & Pockets,Women's Advanced 4.0+,sts22gent
ana mayer,vanessa goldgruber,RCG Vana,Women's Advanced 4.0+,sts22gent
nicole fatt,ruth troughton,RTNF,Women's Advanced 4.0+,sts22gent
julia stadler,tina gulden,screamteam,Women's Advanced 4.0+,sts22gent
bianca nita,rani t'kint,Spike & strike,Women's Advanced 4.0+,sts22gent
amely joly,marina goncalves,Tell me when to stop ...,Women's Advanced 4.0+,sts22gent
daniela kadlec,megan leybourne,tiramisu,Women's Advanced 4.0+,sts22gent
alina teskey,julia stranzl,Tutti Frutti,Women's Advanced 4.0+,sts22gent
1 more,"clement delmaire, clément delmaire",Amical Filet Rond Cambrésien (AFRC),Intermediate 2.0-3.0,sts22gent
jarno decraene,lukas van damme,Big Boys Bernie,Intermediate 2.0-3.0,sts22gent
ewout reuman,simon van cauwenbergh,Double Enghien,Intermediate 2.0-3.0,sts22gent
conrad lobert,louis goemaere,FC Rechtendeure,Intermediate 2.0-3.0,sts22gent
brecht jaspaert,matthias louf,FC Schartemark,Intermediate 2.0-3.0,sts22gent
jules borré,leander bruyneel,Gebroken teen,Intermediate 2.0-3.0,sts22gent
xander de bisschop,zeno goethals,Kiosk Vrienden,Intermediate 2.0-3.0,sts22gent
matthew behiels,milan demol,Mami Pangpang,Intermediate 2.0-3.0,sts22gent
martin clotman,théo clotman,Raptors Les Freroww,Intermediate 2.0-3.0,sts22gent
bruno lancksweerdt,lars croes,Seal with it,Intermediate 2.0-3.0,sts22gent
mauro putman,nand buyst,The Young Boys,Intermediate 2.0-3.0,sts22gent
alexander habils,tidiane diakhité,Tidi en Alex,Intermediate 2.0-3.0,sts22gent
arne cosyns,thomas stragier,Tietje,Intermediate 2.0-3.0,sts22gent
willem de kesel,mathias van sele,Uma,Intermediate 2.0-3.0,sts22gent
antoine clotman,hugo devos,Volt Air,Intermediate 2.0-3.0,sts22gent
pieter de pauw,jana vandesijpe,1 2 3 PieJana,Mixed Advanced 4.0+,sts22gent
ana mayer,gabriel stoisser,AMG S-Class,Mixed Advanced 4.0+,sts22gent
daniela kadlec,raffael jonas,Ananas róse,Mixed Advanced 4.0+,sts22gent
mark elbourne,nicole fatt,Aussie Roos,Mixed Advanced 4.0+,sts22gent
anaïs duport,pierre lecrosnier,Bad salmons,Mixed Advanced 4.0+,sts22gent
inti baguet,jeroen laporte,Baguet à Laporte,Mixed Advanced 4.0+,sts22gent
esaja ekman,nora haas,Beyond stoked!,Mixed Advanced 4.0+,sts22gent
etienne cote,sarah joy quibell,Cote Quibell,Mixed Advanced 4.0+,sts22gent
bianca nita,faisal sayyed,Creme Caramel,Mixed Advanced 4.0+,sts22gent
natacha alt,nelson dziruni,double n trouble,Mixed Advanced 4.0+,sts22gent
sarah dougall,tom nichols,Dougall / Nichols,Mixed Advanced 4.0+,sts22gent
julia stranzl,stefan handschmann,Drum and Balls,Mixed Advanced 4.0+,sts22gent
elien alderweireldt,matthias boone,Endless,Mixed Advanced 4.0+,sts22gent
maddy morehouse,nick wideman,Flotato,Mixed Advanced 4.0+,sts22gent
diëgo lamonte,elise van der stichelen,Fwango Unchained,Mixed Advanced 4.0+,sts22gent
alex perry,andrew gasaway,Gasaway/Perry,Mixed Advanced 4.0+,sts22gent
alex lim,vanessa goldgruber,GoldLime,Mixed Advanced 4.0+,sts22gent
alexa peusch,benjamin bachler,Honorary Bexy,Mixed Advanced 4.0+,sts22gent
amely joly,jan stachiewicz,Janek butter & Joly,Mixed Advanced 4.0+,sts22gent
johannes kopfmann,theresa knauf,JT Knauffman,Mixed Advanced 4.0+,sts22gent
johan van den bergh,riet d'hoore,Klopt derop,Mixed Advanced 4.0+,sts22gent
laura kunzelmann,ma rio,Laura/Mario,Mixed Advanced 4.0+,sts22gent
charles mordacq,juliette dufourcq,Les Charrettes,Mixed Advanced 4.0+,sts22gent
levi vandaele,tatiana delbecke,Levtietjes,Mixed Advanced 4.0+,sts22gent
markus anderle,megan leybourne,m & m‘s,Mixed Advanced 4.0+,sts22gent
fre eskens,ruth troughton,OGs,Mixed Advanced 4.0+,sts22gent
alina teskey,david jindra,Pinkey Jinkey,Mixed Advanced 4.0+,sts22gent
adam clarke,emily hill-smith,Psych!,Mixed Advanced 4.0+,sts22gent
amy campbell,gert cornelis,Put a ring on it!,Mixed Advanced 4.0+,sts22gent
ben feng,paulina pojawis,"Setting From 8,000 km Away",Mixed Advanced 4.0+,sts22gent
sabine steidel,vincent mathieu,sleepless and fearless,Mixed Advanced 4.0+,sts22gent
charlotte bruns,fred libert,Spike bright like a diamond,Mixed Advanced 4.0+,sts22gent
chiahsin lee,jerry lee,Still need a Partner,Mixed Advanced 4.0+,sts22gent
louis jouve,marina goncalves,Summer in December,Mixed Advanced 4.0+,sts22gent
levke walczak,robin florinda,Wall & Floor,Mixed Advanced 4.0+,sts22gent
julia stadler,yosha vandaele,Yosha and mystery girl,Mixed Advanced 4.0+,sts22gent
mart vandeweyer,quinten degrave,blackbird,Mixed Intermediate 2.0-3.0,sts22gent
maud lason,nand buyst,Laku Noooć,Mixed Intermediate 2.0-3.0,sts22gent
chris timmerman,lieze dockx,MalinWa?,Mixed Intermediate 2.0-3.0,sts22gent
jakob vandeveire,lisa haegeman,Team Jakoba,Mixed Intermediate 2.0-3.0,sts22gent
lukas deleu,tess mogensen,Team Tess,Mixed Intermediate 2.0-3.0,sts22gent
simon van cauwenbergh,anouk vermout,The striped socks,Mixed Intermediate 2.0-3.0,sts22gent
ewaut van wambeke,jana laporte,Vliegensvlugge balversnellingen,Mixed Intermediate 2.0-3.0,sts22gent
olivier le jeune,rani t'kint,Zuid-Amerikaans wapitihertje,Mixed Intermediate 2.0-3.0,sts22gent
