Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Lazy Bots,We Serve,"cade larson, owen lippman","desmond benton, tyler cisek",21,11,Bracket play round of Round of 16 game 2,long-island-classic-2023,Premier (5.0+)
Guachos,Goodnow/Ulrich,"josh fragiacomo, ryan oswalt","brody ulrich, jake goodnow",21,15,Bracket play round of Round of 16 game 1,long-island-classic-2023,Premier (5.0+)
Guachos,Goodnow/Ulrich,"josh fragiacomo, ryan oswalt","brody ulrich, jake goodnow",21,15,Bracket play round of Round of 16 game 2,long-island-classic-2023,Premier (5.0+)
Jersey Boyz,Driver’s License,"corey weiss, matt spolarich","alex daly, charles tipton",23,21,Bracket play round of Round of 16 game 1,long-island-classic-2023,Premier (5.0+)
Jersey Boyz,Driver’s License,"corey weiss, matt spolarich","alex daly, charles tipton",21,15,Bracket play round of Round of 16 game 2,long-island-classic-2023,Premier (5.0+)
M. Model / R. Santiago,Endurance,"max model, ricky santiago","danny gologorsky, maxwell gunneson",21,12,Bracket play round of Round of 16 game 1,long-island-classic-2023,Premier (5.0+)
M. Model / R. Santiago,Endurance,"max model, ricky santiago","danny gologorsky, maxwell gunneson",21,12,Bracket play round of Round of 16 game 2,long-island-classic-2023,Premier (5.0+)
RVA Spike,Project Roundnet,"brayden latham, will picone","josh esposo, samuel corey",16,21,Bracket play round of Quarter-finals game 1,long-island-classic-2023,Premier (5.0+)
RVA Spike,Project Roundnet,"brayden latham, will picone","josh esposo, samuel corey",21,13,Bracket play round of Quarter-finals game 2,long-island-classic-2023,Premier (5.0+)
RVA Spike,Project Roundnet,"brayden latham, will picone","josh esposo, samuel corey",21,16,Bracket play round of Quarter-finals game 3,long-island-classic-2023,Premier (5.0+)
Sweet Nothings,Fernandez/Kornfeld,"brendan ferreira, noah luskus","kyan kornfeld, tyler fernandez",21,17,Bracket play round of Quarter-finals game 1,long-island-classic-2023,Premier (5.0+)
Sweet Nothings,Fernandez/Kornfeld,"brendan ferreira, noah luskus","kyan kornfeld, tyler fernandez",21,17,Bracket play round of Quarter-finals game 2,long-island-classic-2023,Premier (5.0+)
Lazy Bots,Guachos,"cade larson, owen lippman","josh fragiacomo, ryan oswalt",21,15,Bracket play round of Quarter-finals game 1,long-island-classic-2023,Premier (5.0+)
Lazy Bots,Guachos,"cade larson, owen lippman","josh fragiacomo, ryan oswalt",19,21,Bracket play round of Quarter-finals game 2,long-island-classic-2023,Premier (5.0+)
Lazy Bots,Guachos,"cade larson, owen lippman","josh fragiacomo, ryan oswalt",19,21,Bracket play round of Quarter-finals game 3,long-island-classic-2023,Premier (5.0+)
Jersey Boyz,M. Model / R. Santiago,"corey weiss, matt spolarich","max model, ricky santiago",21,18,Bracket play round of Quarter-finals game 1,long-island-classic-2023,Premier (5.0+)
Jersey Boyz,M. Model / R. Santiago,"corey weiss, matt spolarich","max model, ricky santiago",22,24,Bracket play round of Quarter-finals game 2,long-island-classic-2023,Premier (5.0+)
Jersey Boyz,M. Model / R. Santiago,"corey weiss, matt spolarich","max model, ricky santiago",17,21,Bracket play round of Quarter-finals game 3,long-island-classic-2023,Premier (5.0+)
RVA Spike,Sweet Nothings,"brayden latham, will picone","brendan ferreira, noah luskus",28,26,Bracket play round of Semi-finals game 1,long-island-classic-2023,Premier (5.0+)
RVA Spike,Sweet Nothings,"brayden latham, will picone","brendan ferreira, noah luskus",21,19,Bracket play round of Semi-finals game 2,long-island-classic-2023,Premier (5.0+)
