Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Longland/Fowler,Tim & Greg,"grant longland, kyle fowler","ian timan, julia brochu",17,21,Bracket play round of P5: Semi-finals game 1,nashvillets2023,Expert (4.5-5.0+)
Longland/Fowler,Tim & Greg,"grant longland, kyle fowler","ian timan, julia brochu",0,2,Bracket play round of P5: Semi-finals game 2,nashvillets2023,Expert (4.5-5.0+)
Put Me in Coach,Roundabouts,"henry pilliod, owen bass","coleman epperson's, olivia jenki",0,-1,Bracket play round of P5: Final game 1,nashvillets2023,Expert (4.5-5.0+)
Put Me in Coach,Roundabouts,"henry pilliod, owen bass","coleman epperson's, olivia jenki",0,-1,Bracket play round of P5: Final game 2,nashvillets2023,Expert (4.5-5.0+)
Holy Guacamole,Whiff,"bradley clark, robert porter","david nara, emily vasquez",-1,-1,Bracket play round of P9: Semi-finals game 1,nashvillets2023,Expert (4.5-5.0+)
Holy Guacamole,Whiff,"bradley clark, robert porter","david nara, emily vasquez",-1,-1,Bracket play round of P9: Semi-finals game 2,nashvillets2023,Expert (4.5-5.0+)
Holy Guacamole,Whiff,"bradley clark, robert porter","david nara, emily vasquez",-1,-1,Bracket play round of P9: Semi-finals game 3,nashvillets2023,Expert (4.5-5.0+)
Special Fajitas for Two,Camp Counselors,"diego ramirez, joseph motto","austin seroka, tyler brown",-1,-1,Bracket play round of P9: Final game 1,nashvillets2023,Expert (4.5-5.0+)
Special Fajitas for Two,Camp Counselors,"diego ramirez, joseph motto","austin seroka, tyler brown",-1,-1,Bracket play round of P9: Final game 2,nashvillets2023,Expert (4.5-5.0+)
Special Fajitas for Two,Camp Counselors,"diego ramirez, joseph motto","austin seroka, tyler brown",-1,-1,Bracket play round of P9: Final game 3,nashvillets2023,Expert (4.5-5.0+)
Holy Guacamole,Whiff,"bradley clark, robert porter","david nara, emily vasquez",-1,-1,Bracket play round of P9: Semi-finals game 1,nashvillets2023,Expert (4.5-5.0+)
Holy Guacamole,Whiff,"bradley clark, robert porter","david nara, emily vasquez",-1,-1,Bracket play round of P9: Semi-finals game 2,nashvillets2023,Expert (4.5-5.0+)
Holy Guacamole,Whiff,"bradley clark, robert porter","david nara, emily vasquez",-1,-1,Bracket play round of P9: Semi-finals game 3,nashvillets2023,Expert (4.5-5.0+)
Special Fajitas for Two,Camp Counselors,"diego ramirez, joseph motto","austin seroka, tyler brown",-1,-1,Bracket play round of P9: Final game 1,nashvillets2023,Expert (4.5-5.0+)
Special Fajitas for Two,Camp Counselors,"diego ramirez, joseph motto","austin seroka, tyler brown",-1,-1,Bracket play round of P9: Final game 2,nashvillets2023,Expert (4.5-5.0+)
Special Fajitas for Two,Camp Counselors,"diego ramirez, joseph motto","austin seroka, tyler brown",-1,-1,Bracket play round of P9: Final game 3,nashvillets2023,Expert (4.5-5.0+)
The scrappers,The ‘Villes,"alexia mast, joel fernandez","victoria stewart, mac heady",21,15,Bracket play round of Round of 16 game 1,nashvillets2023,Contenders (4.0)
The scrappers,The ‘Villes,"alexia mast, joel fernandez","victoria stewart, mac heady",16,21,Bracket play round of Round of 16 game 2,nashvillets2023,Contenders (4.0)
The scrappers,The ‘Villes,"alexia mast, joel fernandez","victoria stewart, mac heady",21,15,Bracket play round of Round of 16 game 3,nashvillets2023,Contenders (4.0)
Double D,The scrappers,"daryan hoover, dave esh","alexia mast, joel fernandez",21,6,Bracket play round of Quarter-finals game 1,nashvillets2023,Contenders (4.0)
Double D,The scrappers,"daryan hoover, dave esh","alexia mast, joel fernandez",21,8,Bracket play round of Quarter-finals game 2,nashvillets2023,Contenders (4.0)
Z-Tier,Polk/Illut,"baker paffie, jackson davidson","jeremy illut, robert polk",21,17,Bracket play round of Quarter-finals game 1,nashvillets2023,Contenders (4.0)
